State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
Jammu and Kashmir,Jammu,2025-03-25,2025,3,Commercial,Battery Electric (BEV),Mahindra Electric,0,37.0,13000000
Uttar Pradesh,Noida,2024-02-13,2024,2,2W,Battery Electric (BEV),Hero Electric,235,120.0,231000000
Rajasthan,Udaipur,2019-01-23,2019,1,Car,Battery Electric (BEV),Hyundai,2,11.0,81000000
West Bengal,Durgapur,2024-02-22,2024,2,Bus,Battery Electric (BEV),Ashok Leyland,2,63.0,99000000
Karnataka,Bengaluru Urban,2020-05-10,2020,5,Car,Battery Electric (BEV),Kia,2,30.0,67000000
Madhya Pradesh,Bhopal,2025-06-15,2025,6,Bus,Battery Electric (BEV),PMI Electro,2,100.0,85000000
Gujarat,Surat,2024-10-14,2024,10,2W,Battery Electric (BEV),Hero Electric,63,173.0,71000000
Gujarat,Rajkot,2021-03-14,2021,3,Car,Battery Electric (BEV),Mahindra Electric,3,55.0,71000000
Jharkhand,Dhanbad,2023-04-24,2023,4,2W,Battery Electric (BEV),Hero Electric,7,14.0,39000000
Maharashtra,Pune,2022-12-05,2022,12,Commercial,Battery Electric (BEV),Mahindra Electric,6,75.0,123000000
Rajasthan,Udaipur,2023-12-19,2023,12,Bus,Battery Electric (BEV),Olectra Greentech,2,74.0,81000000
Gujarat,Rajkot,2023-09-23,2023,9,Commercial,Battery Electric (BEV),Mahindra Electric,4,45.0,71000000
Maharashtra,Thane,2018-07-08,2018,7,2W,Battery Electric (BEV),Ather Energy,9,21.0,123000000
Chhattisgarh,Bilaspur,2021-08-19,2021,8,Bus,Battery Electric (BEV),Ashok Leyland,0,10.0,30000000
Odisha,Bhubaneswar,2025-01-04,2025,1,3W,Battery Electric (BEV),YC Electric,5,28.0,46000000
Karnataka,Bengaluru Urban,2023-09-14,2023,9,Car,Battery Electric (BEV),MG Motor,13,137.0,67000000
Uttarakhand,Haridwar,2018-12-26,2018,12,Car,Battery Electric (BEV),MG Motor,0,4.0,11000000
Punjab,Amritsar,2023-03-26,2023,3,Commercial,Battery Electric (BEV),Ashok Leyland,1,64.0,30000000
Uttar Pradesh,Varanasi,2019-04-09,2019,4,2W,Battery Electric (BEV),Hero Electric,35,50.0,231000000
Odisha,Cuttack,2019-12-27,2019,12,3W,Battery Electric (BEV),YC Electric,0 ,15.0,46000000
Tamil Nadu,Chennai,2021-08-14,2021,8,Commercial,Battery Electric (BEV),Eicher Motors,1,52.0,77000000
Maharashtra,Mumbai City,2021-09-23,2021,9,3W,Battery Electric (BEV),Mahindra Electric,5,52.0,123000000
Tamil Nadu,Chennai,2023-03-02,2023,3,2W,Battery Electric (BEV),Ola Electric,83,133.0,77000000
Rajasthan,,2019-08-05,2019,8,Car,Battery Electric (BEV),MG Motor,1,17.0,81000000
Maharashtra,Thane,2022-05-05,2022,5,3W,Battery Electric (BEV),Bajaj Auto,19,63.0,123000000
Jharkhand,Jamshedpur,2025-05-07,2025,5,Commercial,Battery Electric (BEV),Eicher Motors,0,31.0,39000000
Bihar,Bhagalpur,2023-12-20,2023,12,2W,Plug-in Hybrid (PHEV),Ola Electric,37,20.0,128000000
West Bengal,Siliguri,2025-02-01,2025,2,3W,Plug-in Hybrid (PHEV),Kinetic Green,19,30.0,99000000
Uttar Pradesh,Noida,2023-04-22,2023,4,Car,Battery Electric (BEV),Kia,38,154.0,231000000
Jammu and Kashmir,Jammu,2021-11-05,2021,11,3W,Battery Electric (BEV),Mahindra Electric,0,22.0,13000000
Uttar Pradesh,Noida,2024-01-25,2024,1,Bus,Battery Electric (BEV),Olectra Greentech,19,83.0,231000000
Himachal Pradesh,Shimla,2019-12-25,2019,12,2W,Battery Electric (BEV),Okinawa Autotech,0,9.0,7500000
Uttar Pradesh,,2021-10-15,2021,10,3W,,Mahindra Electric,12,,231000000
West Bengal,Kolkata,2023-09-26,2023,9,Bus,Battery Electric (BEV),PMI Electro,1,69.0,99000000
Punjab,Amritsar,2024-12-12,2024,12,3W,Plug-in Hybrid (PHEV),Bajaj Auto,4,43.0,30000000
Punjab,Amritsar,2020-01-14,2020,1,2W,Battery Electric (BEV),Okinawa Autotech,2,23.0,30000000
Punjab,Ludhiana,2025-02-06,2025,2,Car,Battery Electric (BEV),Kia,4,81.0,30000000
Punjab,Ludhiana,2025-04-09,2025,4,Car,Battery Electric (BEV),MG Motor,4,114.0,30000000
Chandigarh,Chandigarh,2025-03-22,2025,3,Car,Battery Electric (BEV),MG Motor,0,19.0,1200000
Assam,Guwahati,2024-11-21,2024,11,3W,Battery Electric (BEV),Bajaj Auto,1,36.0,35000000
West Bengal,Howrah,2019-07-18,2019,7,2W,Battery Electric (BEV),Okinawa Autotech,6,13.0,99000000
Tamil Nadu,Chennai,2024-07-11,2024,7,Car,Battery Electric (BEV),Hyundai,10,65.0,77000000
Punjab,Amritsar,2020-04-12,2020,4,2W,Battery Electric (BEV),Okinawa Autotech,1,23.0,30000000
Bihar,Bhagalpur,2021-06-16,2021,6,2W,Battery Electric (BEV),TVS Motor,8,23.0,128000000
Rajasthan,Jodhpur,2025-06-26,2025,6,Commercial,Battery Electric (BEV),Eicher Motors,4,80.0,81000000
Andhra Pradesh,Guntur,2023-02-19,2023,2,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,1,39.0,53000000
Madhya Pradesh,Indore,2020-02-04,2020,2,Car,Battery Electric (BEV),Tata Motors,1,17.0,85000000
Uttarakhand,Haridwar,2025-01-21,2025,1,2W,Battery Electric (BEV),Bajaj Auto,3,23.0,11000000
Jammu and Kashmir,Jammu,2021-10-07,2021,10,Car,Battery Electric (BEV),Kia,0,8.0,13000000
Assam,Silchar,2018-02-13,2018,2,2W,Battery Electric (BEV),Okinawa Autotech,1,3.0,35000000
Kerala,Ernakulam,2019-05-05,2019,5,Commercial,Battery Electric (BEV),Tata Motors,0,13.0,35000000
Himachal Pradesh,Shimla,2024-06-12,2024,6,2W,Battery Electric (BEV),Bajaj Auto,2,48.0,7500000
Maharashtra,Nashik,2018-08-23,2018,8,Car,Battery Electric (BEV),Kia,2,23.0,123000000
Himachal Pradesh,Kangra,2018-04-04,2018,4,Commercial,Battery Electric (BEV),Tata Motors,0,12.0,7500000
Uttar Pradesh,Lucknow,2019-10-17,2019,10,Commercial,Battery Electric (BEV),Mahindra Electric,3,22.0,231000000
Uttar Pradesh,Noida,2024-02-22,2024,2,3W,Battery Electric (BEV),YC Electric,59,73.0,231000000
West Bengal,Durgapur,2021-10-14,2021,10,2W,Battery Electric (BEV),TVS Motor,15,47.0,99000000
Uttarakhand,,2020-11-17,2020,11,Commercial,,,0,,11000000
West Bengal,Kolkata,2023-04-22,2023,4,Bus,Battery Electric (BEV),PMI Electro,2,61.0,99000000
Rajasthan,Jaipur,2023-01-02,2023,1,2W,Battery Electric (BEV),Bajaj Auto,31,52.0,81000000
Madhya Pradesh,Jabalpur,2024-03-02,2024,3,2W,Battery Electric (BEV),TVS Motor,39,70.0,85000000
Haryana,Faridabad,2023-04-05,2023,4,Commercial,Battery Electric (BEV),Ashok Leyland,1,43.0,30000000
Punjab,Jalandhar,2022-07-21,2022,7,Bus,Battery Electric (BEV),PMI Electro,0,58.0,30000000
Rajasthan,Jodhpur,2023-07-07,2023,7,Commercial,Battery Electric (BEV),Eicher Motors,3,55.0,81000000
Jammu and Kashmir,Srinagar,2022-01-12,2022,1,2W,Battery Electric (BEV),TVS Motor,24,12.0,13000000
Jammu and Kashmir,Srinagar,2025-04-02,2025,4,2W,Battery Electric (BEV),Ola Electric,7,39.0,13000000
Uttar Pradesh,Noida,2023-09-10,2023,9,3W,Battery Electric (BEV),Kinetic Green,22,56.0,231000000
Gujarat,Surat,2023-04-19,2023,4,2W,Battery Electric (BEV),TVS Motor,76,110.0,71000000
Maharashtra,Mumbai City,2019-12-02,2019,12,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,1,44.0,123000000
Tamil Nadu,Coimbatore,2022-05-02,2022,5,3W,Plug-in Hybrid (PHEV),Bajaj Auto,10,64.0,77000000
Jharkhand,Ranchi,2022-12-27,2022,12,Car,Battery Electric (BEV),MG Motor,1,16.0,39000000
Kerala,Thiruvananthapuram,2024-12-02,2024,12,3W,Plug-in Hybrid (PHEV),Mahindra Electric,5,48.0,35000000
West Bengal,Durgapur,2022-09-23,2022,9,Bus,Battery Electric (BEV),Ashok Leyland,0,61.0,99000000
Telangana,Nizamabad,2019-08-11,2019,8,3W,Battery Electric (BEV),Kinetic Green,0,17.0,39000000
Bihar,Bhagalpur,2024-09-24,2024,9,3W,Battery Electric (BEV),Piaggio,9,39.0,128000000
Himachal Pradesh,Shimla,2018-05-20,2018,5,Commercial,Battery Electric (BEV),Tata Motors,0,5.0,7500000
Maharashtra,Nashik,2019-06-24,2019,6,Bus,Battery Electric (BEV),Ashok Leyland,0,18.0,123000000
Assam,Dibrugarh,2024-06-05,2024,6,Commercial,Battery Electric (BEV),Tata Motors,1,16.0,35000000
Madhya Pradesh,Indore,2021-02-02,2021,2,Car,Battery Electric (BEV),BYD,2,53.0,85000000
Odisha,Rourkela,2022-03-23,2022,3,Car,Battery Electric (BEV),MG Motor,2,15.0,46000000
Karnataka,Bengaluru Urban,2021-05-10,2021,5,2W,Plug-in Hybrid (PHEV),Bajaj Auto,22,50.0,67000000
Maharashtra,Thane,2018-03-13,2018,3,Commercial,Battery Electric (BEV),Tata Motors,1,11.0,123000000
Assam,Guwahati,2019-02-03,2019,2,Commercial,Battery Electric (BEV),Mahindra Electric,0,18.0,35000000
Karnataka,Mangaluru,2024-04-25,2024,4,Car,Plug-in Hybrid (PHEV),BYD,13,86.0,67000000
Telangana,Nizamabad,2021-01-12,2021,1,3W,Battery Electric (BEV),Bajaj Auto,2 ,53.0,39000000
Maharashtra,Mumbai City,2018-03-07,2018,3,2W,Plug-in Hybrid (PHEV),Hero Electric,18,14.0,123000000
Gujarat,Vadodara,2021-07-25,2021,7,3W,Battery Electric (BEV),Bajaj Auto,4,83.0,71000000
Haryana,Gurugram,2024-10-03,2024,10,3W,Battery Electric (BEV),Piaggio,4,27.0,30000000
Uttar Pradesh,Ghaziabad,2022-02-10,2022,2,Bus,Battery Electric (BEV),Olectra Greentech,6,72.0,231000000
Chhattisgarh,Raipur,2020-06-19,2020,6,Bus,Battery Electric (BEV),Olectra Greentech,0,15.0,30000000
Punjab,Ludhiana,2022-09-08,2022,9,3W,Battery Electric (BEV),YC Electric,2,68.0,30000000
Tamil Nadu,Salem,2019-10-08,2019,10,Commercial,Battery Electric (BEV),Ashok Leyland,0,22.0,77000000
Bihar,Bhagalpur,2021-05-10,2021,5,Commercial,Battery Electric (BEV),Mahindra Electric,1,15.0,128000000
West Bengal,Durgapur,2023-03-07,2023,3,3W,Battery Electric (BEV),YC Electric,10,72.0,99000000
Assam,Dibrugarh,2024-04-11,2024,4,Commercial,Battery Electric (BEV),Ashok Leyland,1 ,48.0,35000000
Telangana,Warangal,2024-07-20,2024,7,3W,Battery Electric (BEV),Piaggio,12,71.0,39000000
West Bengal,Kolkata,2025-06-20,2025,6,Commercial,Battery Electric (BEV),Mahindra Electric,5,94.0,99000000
Gujarat,Vadodara,2021-12-26,2021,12,3W,Plug-in Hybrid (PHEV),YC Electric,2,54.0,71000000
Rajasthan,Kota,2022-06-11,2022,6,Commercial,Battery Electric (BEV),Eicher Motors,1,45.0,81000000
Kerala,Thiruvananthapuram,2023-08-03,2023,8,2W,Battery Electric (BEV),Bajaj Auto,15,76.0,35000000
Karnataka,Mysuru,2023-05-25,2023,5,Bus,Battery Electric (BEV),Olectra Greentech,2,106.0,67000000
Delhi,South Delhi,2023-08-22,2023,8,2W,Battery Electric (BEV),Ather Energy,15,107.0,32000000
Punjab,Jalandhar,2025-04-15,2025,4,3W,Plug-in Hybrid (PHEV),YC Electric,5,70.0,30000000
West Bengal,Kolkata,2020-12-04,2020,12,Car,Battery Electric (BEV),Mahindra Electric,1,25.0,99000000
Andhra Pradesh,Vijayawada,2022-12-12,2022,12,3W,Plug-in Hybrid (PHEV),Bajaj Auto,3,71.0,53000000
Uttar Pradesh,Noida,2019-05-23,2019,5,Bus,Battery Electric (BEV),Tata Motors,0,48.0,231000000
Haryana,Panipat,2018-04-18,2018,4,2W,Battery Electric (BEV),Ola Electric,24,10.0,30000000
West Bengal,Durgapur,2023-07-09,2023,7,Car,Battery Electric (BEV),BYD,8,32.0,99000000
Delhi,East Delhi,2024-04-05,2024,4,Car,Battery Electric (BEV),BYD,12,118.0,32000000
Chandigarh,Chandigarh,2025-02-04,2025,2,Bus,Battery Electric (BEV),Olectra Greentech,0,56.0,1200000
Goa,South Goa,2018-05-26,2018,5,Car,Battery Electric (BEV),Mahindra Electric,0,6.0,1600000
Uttar Pradesh,Varanasi,2020-06-27,2020,6,3W,Battery Electric (BEV),Kinetic Green,5,68.0,231000000
West Bengal,Durgapur,2022-12-23,2022,12,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,2,52.0,99000000
Odisha,Rourkela,2023-02-07,2023,2,2W,Battery Electric (BEV),Okinawa Autotech,11,20.0,46000000
Delhi,South Delhi,2021-10-26,2021,10,2W,Battery Electric (BEV),Okinawa Autotech,4,53.0,32000000
Telangana,Hyderabad,2018-06-27,2018,6,2W,Battery Electric (BEV),Okinawa Autotech,3,22.0,39000000
Bihar,Patna,2023-10-21,2023,10,Car,Battery Electric (BEV),MG Motor,4,40.0,128000000
Bihar,Bhagalpur,2024-12-03,2024,12,Car,Battery Electric (BEV),Tata Motors,12,43.0,128000000
Madhya Pradesh,Jabalpur,2024-08-14,2024,8,3W,Battery Electric (BEV),Mahindra Electric,8,40.0,85000000
Telangana,Warangal,2024-01-12,2024,1,3W,Battery Electric (BEV),Mahindra Electric,7,101.0,39000000
Delhi,East Delhi,2018-10-02,2018,10,2W,Battery Electric (BEV),Ather Energy,1,16.0,32000000
Maharashtra,Nagpur,2023-10-18,2023,10,2W,Battery Electric (BEV),Hero Electric,57,135.0,123000000
Assam,Silchar,2024-01-01,2024,1,Commercial,Battery Electric (BEV),Ashok Leyland,0,28.0,35000000
Chandigarh,Chandigarh,2021-06-16,2021,6,Bus,Battery Electric (BEV),PMI Electro,0,27.0,1200000
Punjab,Jalandhar,2024-03-08,2024,3,Bus,Battery Electric (BEV),Ashok Leyland,0,57.0,30000000
MAHARASHTRA,Pune,2022-08-15,2022,8,3W,Battery Electric (BEV),Bajaj Auto,12,100.0,123000000
Gujarat,Vadodara,2022-06-24,2022,6,Commercial,Battery Electric (BEV),Eicher Motors,2,45.0,71000000
Jharkhand,Dhanbad,2020-12-15,2020,12,2W,Battery Electric (BEV),Ather Energy,1,21.0,39000000
Uttar Pradesh,Kanpur,2025-04-13,2025,4,Commercial,Battery Electric (BEV),Ashok Leyland,26,136.0,231000000
Jharkhand,Dhanbad,2023-09-26,2023,9,Car,Battery Electric (BEV),Tata Motors,1,26.0,39000000
Jharkhand,Jamshedpur,2022-05-17,2022,5,Car,Battery Electric (BEV),Hyundai,1,28.0,39000000
Telangana,Hyderabad,2020-01-09,2020,1,3W,Battery Electric (BEV),Kinetic Green,1,21.0,39000000
Madhya Pradesh,Gwalior,2021-06-26,2021,6,3W,Plug-in Hybrid (PHEV),YC Electric,1,42.0,85000000
Uttarakhand,Dehradun,2018-07-06,2018,7,Car,Battery Electric (BEV),Tata Motors,0,10.0,11000000
Gujarat,Surat,2018-12-17,2018,12,2W,Plug-in Hybrid (PHEV),Hero Electric,9,7.0,71000000
Rajasthan,Jodhpur,2023-05-23,2023,5,Bus,Battery Electric (BEV),Olectra Greentech,1,52.0,81000000
Karnataka,Bengaluru Urban,2022-11-03,2022,11,2W,Battery Electric (BEV),Bajaj Auto,24,75.0,67000000
Tamil Nadu,Chennai,2023-02-04,2023,2,2W,Battery Electric (BEV),Okinawa Autotech,56,142.0,77000000
Bihar,Gaya,2024-10-23,2024,10,3W,Battery Electric (BEV),Piaggio,8,33.0,128000000
Delhi,South Delhi,2020-01-26,2020,1,2W,Battery Electric (BEV),Hero Electric,2,72.0,32000000
Himachal Pradesh,Shimla,2023-03-15,2023,3,Commercial,Battery Electric (BEV),Mahindra Electric,0,30.0,7500000
Assam,,2023-11-24,2023,11,2W,,,6,,35000000
Madhya Pradesh,Jabalpur,2024-06-24,2024,6,Car,Battery Electric (BEV),Hyundai,14,70.0,85000000
Karnataka,Mysuru,2021-11-16,2021,11,3W,Battery Electric (BEV),Kinetic Green,4,43.0,67000000
Gujarat,Rajkot,2020-02-03,2020,2,3W,Battery Electric (BEV),Mahindra Electric,1,29.0,71000000
Haryana,Gurugram,2023-07-21,2023,7,3W,Battery Electric (BEV),Piaggio,2,61.0,30000000
Uttar Pradesh,Ghaziabad,2020-04-11,2020,4,Car,Battery Electric (BEV),Kia,5,75.0,231000000
Jharkhand,Ranchi,2023-03-01,2023,3,Commercial,Battery Electric (BEV),Ashok Leyland,1,42.0,39000000
Telangana,Nizamabad,2022-05-10,2022,5,3W,Battery Electric (BEV),Bajaj Auto,3,80.0,39000000
Delhi,East Delhi,2025-01-05,2025,1,Commercial,Battery Electric (BEV),Ashok Leyland,4,143.0,32000000
Andhra Pradesh,Guntur,2018-01-22,2018,1,Car,Battery Electric (BEV),Mahindra Electric,0,10.0,53000000
Delhi,New Delhi,2019-09-19,2019,9,2W,Battery Electric (BEV),Okinawa Autotech,4,44.0,32000000
Andhra Pradesh,Vijayawada,2022-09-09,2022,9,Car,Battery Electric (BEV),Tata Motors,2,66.0,53000000
Tamil Nadu,Salem,2020-01-24,2020,1,3W,Battery Electric (BEV),Piaggio,2,39.0,77000000
Maharashtra,Nagpur,2023-06-01,2023,6,Commercial,Battery Electric (BEV),Eicher Motors,5,136.0,123000000
Rajasthan,Udaipur,2024-04-22,2024,4,Commercial,Battery Electric (BEV),Mahindra Electric,5,48.0,81000000
Telangana,Nizamabad,2023-09-08,2023,9,3W,Battery Electric (BEV),YC Electric,8,141.0,39000000
Karnataka,Bengaluru Urban,2020-07-18,2020,7,Bus,Battery Electric (BEV),Tata Motors,0,41.0,67000000
Andhra Pradesh,Visakhapatnam,2023-04-24,2023,4,Commercial,Battery Electric (BEV),Tata Motors,2,34.0,53000000
Uttarakhand,Haridwar,2022-06-18,2022,6,2W,Battery Electric (BEV),Ather Energy,1,30.0,11000000
Tamil Nadu,Salem,2021-06-22,2021,6,2W,Battery Electric (BEV),Ola Electric,20,74.0,77000000
Odisha,Bhubaneswar,2022-12-11,2022,12,3W,Battery Electric (BEV),Mahindra Electric,1,22.0,46000000
Telangana,Nizamabad,2020-07-26,2020,7,2W,Battery Electric (BEV),Hero Electric,4,33.0,39000000
Delhi,East Delhi,2024-05-01,2024,5,3W,Battery Electric (BEV),Kinetic Green,7,135.0,32000000
Gujarat,Rajkot,2018-11-05,2018,11,Car,Battery Electric (BEV),Tata Motors,1,20.0,71000000
Andhra Pradesh,Guntur,2023-07-18,2023,7,3W,Battery Electric (BEV),Bajaj Auto,4,83.0,53000000
uttar pradesh,Noida,2022-08-21,2022,8,Commercial,Battery Electric (BEV),Eicher Motors,12,79.0,231000000
Himachal Pradesh,Shimla,2020-01-07,2020,1,3W,Battery Electric (BEV),Bajaj Auto,0,3.0,7500000
Bihar,Patna,2019-06-27,2019,6,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,7,2.0,128000000
Maharashtra,Nagpur,2019-10-27,2019,10,2W,Battery Electric (BEV),Bajaj Auto,14,39.0,123000000
Madhya Pradesh,Jabalpur,2023-03-16,2023,3,Car,Battery Electric (BEV),Kia,9,51.0,85000000
Haryana,Gurugram,2021-03-03,2021,3,Bus,Battery Electric (BEV),Olectra Greentech,0,43.0,30000000
Tamil Nadu,Coimbatore,2024-05-25,2024,5,Bus,Battery Electric (BEV),Olectra Greentech,3,169.0,77000000
Uttar Pradesh,Noida,2023-07-22,2023,7,2W,Battery Electric (BEV),Hero Electric,107,79.0,231000000
Rajasthan,Jaipur,2020-09-24,2020,9,Commercial,Battery Electric (BEV),Tata Motors,0,29.0,81000000
Haryana,Faridabad,2020-11-08,2020,11,2W,Battery Electric (BEV),Hero Electric,2,32.0,30000000
Jharkhand,Dhanbad,2020-02-07,2020,2,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,0,8.0,39000000
Uttar Pradesh,Kanpur,2024-09-09,2024,9,Commercial,Battery Electric (BEV),Tata Motors,17,134.0,231000000
Rajasthan,Jaipur,2024-07-18,2024,7,3W,Battery Electric (BEV),Kinetic Green,7,81.0,81000000
Tamil Nadu,Salem,2023-07-06,2023,7,Car,Plug-in Hybrid (PHEV),Tata Motors,12,83.0,77000000
Madhya Pradesh,Bhopal,2021-06-08,2021,6,Car,Battery Electric (BEV),Tata Motors,2,43.0,85000000
Telangana,Nizamabad,2021-03-24,2021,3,2W,Battery Electric (BEV),TVS Motor,6,66.0,39000000
Tamil Nadu,Chennai,2019-02-17,2019,2,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,12,30.0,77000000
Assam,Silchar,2020-01-01,2020,1,3W,Battery Electric (BEV),Mahindra Electric,0,10.0,35000000
Goa,,2019-03-23,2019,3,Car,,,0,,1600000
Bihar,Gaya,2020-09-15,2020,9,2W,Battery Electric (BEV),Okinawa Autotech,3,7.0,128000000
Goa,South Goa,2025-01-21,2025,1,2W,Plug-in Hybrid (PHEV),Ather Energy,0,38.0,1600000
Uttarakhand,Haridwar,2024-06-11,2024,6,Bus,Battery Electric (BEV),Ashok Leyland,0,44.0,11000000
Uttar Pradesh,Varanasi,2022-12-08,2022,12,Commercial,Battery Electric (BEV),Eicher Motors,8,55.0,231000000
Odisha,Bhubaneswar,2019-09-25,2019,9,2W,Battery Electric (BEV),Ola Electric,1,16.0,46000000
Delhi,New Delhi,2024-01-23,2024,1,Bus,Battery Electric (BEV),Tata Motors,1,51.0,32000000
Maharashtra,Pune,2019-05-20,2019,5,Bus,Battery Electric (BEV),Olectra Greentech,0,27.0,123000000
Uttar Pradesh,Kanpur,2020-08-24,2020,8,Bus,Battery Electric (BEV),Ashok Leyland,1,44.0,231000000
Jharkhand,Ranchi,2021-10-25,2021,10,Car,Battery Electric (BEV),MG Motor,0,12.0,39000000
Uttar  Pradesh,,2023-05-24,2023,5,Commercial,,,14,,231000000
Maharashtra,Pune,2021-01-01,2021,1,Car,Battery Electric (BEV),Tata Motors,7,88.0,123000000
Telangana,Warangal,2019-04-12,2019,4,2W,Battery Electric (BEV),TVS Motor,5,28.0,39000000
Jharkhand,Ranchi,2023-05-18,2023,5,2W,Battery Electric (BEV),Ola Electric,12,39.0,39000000
Goa,North Goa,2020-08-06,2020,8,2W,Battery Electric (BEV),Okinawa Autotech,0,18.0,1600000
Maharashtra,Thane,2023-01-24,2023,1,2W,Battery Electric (BEV),Okinawa Autotech,70,136.0,123000000
Uttar Pradesh,Varanasi,2025-03-17,2025,3,3W,Battery Electric (BEV),Bajaj Auto,79,109.0,231000000
Jammu and Kashmir,Jammu,2024-11-19,2024,11,3W,Battery Electric (BEV),YC Electric,1,26.0,13000000
Assam,Silchar,2018-09-27,2018,9,Commercial,Battery Electric (BEV),Ashok Leyland,0,3.0,35000000
Gujarat,,2020-07-21,2020,7,Commercial,Battery Electric (BEV),Ashok Leyland,0,65.0,71000000
Punjab,Ludhiana,2024-08-18,2024,8,Commercial,Battery Electric (BEV),Ashok Leyland,1,94.0,30000000
Kerala,Kozhikode,2022-08-23,2022,8,2W,Plug-in Hybrid (PHEV),Ola Electric,9,35.0,35000000
Karnataka,,2021-05-06,2021,5,Commercial,,Eicher Motors,1 ,,67000000
Telangana,Warangal,2022-10-18,2022,10,Car,Battery Electric (BEV),Mahindra Electric,3,50.0,39000000
Madhya Pradesh,Jabalpur,2024-11-20,2024,11,2W,Battery Electric (BEV),Okinawa Autotech,21,61.0,85000000
Uttar Pradesh,Noida,2021-06-12,2021,6,Car,Battery Electric (BEV),Hyundai,10,61.0,231000000
Punjab,Ludhiana,2024-10-13,2024,10,3W,Battery Electric (BEV),Bajaj Auto,2,67.0,30000000
Kerala,Ernakulam,2018-04-07,2018,4,2W,Battery Electric (BEV),Bajaj Auto,2,16.0,35000000
Jharkhand,Ranchi,2019-12-11,2019,12,Car,Battery Electric (BEV),Mahindra Electric,0,12.0,39000000
Haryana,Panipat,2021-11-22,2021,11,3W,Battery Electric (BEV),Kinetic Green,0,33.0,30000000
Tamil Nadu,Chennai,2023-09-27,2023,9,Bus,Battery Electric (BEV),Tata Motors,3,141.0,77000000
Goa,South Goa,2024-03-01,2024,3,Commercial,Battery Electric (BEV),Mahindra Electric,0,35.0,1600000
Haryana,Panipat,2023-04-11,2023,4,3W,Battery Electric (BEV),Kinetic Green,3,50.0,30000000
Maharashtra,Mumbai City,2025-06-19,2025,6,Bus,Battery Electric (BEV),Olectra Greentech,5,58.0,123000000
Jammu and Kashmir,Srinagar,2023-04-22,2023,4,3W,Battery Electric (BEV),YC Electric,0,31.0,13000000
Chandigarh,Chandigarh,2020-09-08,2020,9,Car,Battery Electric (BEV),MG Motor,0,7.0,1200000
Rajasthan,Kota,2025-05-22,2025,5,2W,Battery Electric (BEV),Hero Electric,60,98.0,81000000
Punjab,Ludhiana,2023-09-14,2023,9,Car,Battery Electric (BEV),MG Motor,1,51.0,30000000
Delhi,South Delhi,2021-08-03,2021,8,3W,Plug-in Hybrid (PHEV),YC Electric,1,73.0,32000000
Karnataka,Mangaluru,2023-08-21,2023,8,3W,Battery Electric (BEV),YC Electric,13,138.0,67000000
Maharashtra,Nagpur,2019-05-10,2019,5,Car,Battery Electric (BEV),MG Motor,3,30.0,123000000
Haryana,Faridabad,2022-12-09,2022,12,Car,Plug-in Hybrid (PHEV),Tata Motors,2,23.0,30000000
Rajasthan,Udaipur,2024-01-11,2024,1,3W,Battery Electric (BEV),Bajaj Auto,10,46.0,81000000
Gujarat,Surat,2018-07-08,2018,7,3W,Battery Electric (BEV),YC Electric,1,27.0,71000000
Odisha,Cuttack,2022-09-04,2022,9,2W,Plug-in Hybrid (PHEV),Hero Electric,6,23.0,46000000
Jammu and Kashmir,Jammu,2023-12-20,2023,12,Car,Battery Electric (BEV),Tata Motors,0,17.0,13000000
Jharkhand,Jamshedpur,2019-02-06,2019,2,2W,Battery Electric (BEV),Bajaj Auto,1,13.0,39000000
Odisha,Bhubaneswar,2023-05-20,2023,5,3W,Battery Electric (BEV),Kinetic Green,1,17.0,46000000
Uttar Pradesh,,2019-09-23,2019,9,Bus,Battery Electric (BEV),Olectra Greentech,1,23.0,231000000
Tamil Nadu,Salem,2018-07-01,2018,7,3W,Battery Electric (BEV),YC Electric,1,17.0,77000000
Haryana,Faridabad,2023-08-14,2023,8,Car,Plug-in Hybrid (PHEV),Tata Motors,2,65.0,30000000
Andhra Pradesh,Guntur,2023-03-05,2023,3,Commercial,Battery Electric (BEV),Ashok Leyland,2,64.0,53000000
Delhi,North Delhi,2019-09-11,2019,9,3W,Battery Electric (BEV),Bajaj Auto,0,50.0,32000000
Maharashtra,Pune,2025-05-21,2025,5,Bus,Battery Electric (BEV),Tata Motors,7,94.0,123000000
Telangana,Hyderabad,2021-12-07,2021,12,Commercial,Battery Electric (BEV),Ashok Leyland,0,95.0,39000000
Jharkhand,Ranchi,2022-09-01,2022,9,Car,Battery Electric (BEV),Kia,1,12.0,39000000
Kerala,Kozhikode,2023-01-13,2023,1,3W,Battery Electric (BEV),Piaggio,3,46.0,35000000
Haryana,Faridabad,2021-07-04,2021,7,Bus,Battery Electric (BEV),Ashok Leyland,0,31.0,30000000
Uttarakhand,Dehradun,2019-11-10,2019,11,Commercial,Battery Electric (BEV),Ashok Leyland,0,1.0,11000000
